<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<OPEN>,<LAST>
2001-07-10,8.170751423757533,8.174984532943087,8.157943507105037,8.163656176168432,5214007876.0,1488212,792,8.163940954755008,8.163656176168432
2001-07-11,8.163656176168432,8.17244681834278,8.162516250140179,8.166216268592143,3633534066.0,1030379,776,8.163656176168432,8.166216268592143
2001-07-14,8.168202930236053,8.17188200612782,8.16194579946869,8.163656176168432,5667603471.0,1612780,958,8.166216268592143,8.163656176168432
2001-07-15,8.163656176168432,8.165079258805068,8.157943507105037,8.160518247477505,20432559912.0,5837457,1165,8.163656176168432,8.160518247477505
2001-07-16,8.159660737063376,8.172164452111904,8.15708378502887,8.16961956172385,14660644873.0,4178513,1450,8.160518247477505,8.16961956172385
2001-08-14,8.137688184977605,8.146419323098003,8.086717920303906,8.100464891029363,3496689707.0,1045135,481,8.16961956172385,8.100464891029363
2001-08-15,8.101071503119543,8.121480374750751,8.100464891029363,8.114025442356757,5073962612.0,1522950,809,8.100464891029363,8.114025442356757
2001-08-18,8.121480374750751,8.132118772955806,8.11701408773731,8.131824785007195,6846440107.0,2020509,800,8.114025442356757,8.131824785007195
2001-08-19,8.128880142125638,8.132118772955806,8.122371243406553,8.12296471523406,3421300395.0,1008851,643,8.131824785007195,8.12296471523406
2001-08-20,8.11701408773731,8.11701408773731,8.087025470667701,8.087332926473351,2082473926.0,632935,434,8.12296471523406,8.087332926473351
2001-08-21,8.087025470667701,8.087025470667701,8.064950891749143,8.083637203141548,2221802484.0,691479,452,8.087332926473351,8.083637203141548
2001-08-22,8.083637203141548,8.09009578318096,8.068089626278244,8.080546965824498,1792218153.0,556096,382,8.083637203141548,8.080546965824498
2001-08-25,8.080546965824498,8.105005537547246,8.078998258685154,8.07961802938984,1451173831.0,444376,389,8.080546965824498,8.07961802938984
2001-08-26,8.0774471493312,8.081784206935001,8.068089626278244,8.068402958569699,1222496612.0,380933,515,8.07961802938984,8.068402958569699
2001-08-27,8.068402958569699,8.068402958569699,8.04044688130311,8.04044688130311,1443071091.0,458272,329,8.068402958569699,8.04044688130311
2001-08-28,8.042699496897637,8.059592328887545,8.042699496897637,8.05579245097777,1663675284.0,530458,403,8.04044688130311,8.05579245097777
2001-08-29,8.055475141757274,8.056109659545061,8.03947991910045,8.052296499538647,1693976106.0,542600,380,8.05579245097777,8.052296499538647
2001-09-01,8.047509510981422,8.052296499538647,8.033009498596668,8.034955024502159,1171190428.0,376749,316,8.052296499538647,8.034955024502159
2001-09-02,8.031060180240619,8.035602692918582,8.017637159908478,8.02322468471667,1181600922.0,386757,329,8.034955024502159,8.02322468471667
2001-09-03,8.019941687677365,8.019941687677365,8.003363058629947,8.006700845440367,2183073283.0,726518,368,8.02322468471667,8.006700845440367
2001-09-04,8.006700845440367,8.023552392404348,7.989899374942939,8.02322468471667,1480146459.0,493069,328,8.006700845440367,8.02322468471667
2001-09-05,8.039157390473237,8.039802343736485,8.02322468471667,8.03947991910045,1636829821.0,532611,376,8.02322468471667,8.03947991910045
2001-09-08,8.0519780789023,8.061802274538348,8.03947991910045,8.061802274538348,1441289932.0,457882,349,8.03947991910045,8.061802274538348
2001-09-09,8.071218539969863,8.080546965824498,8.052296499538647,8.071218539969863,1766106456.0,551484,429,8.061802274538348,8.071218539969863
2001-09-10,8.070593539949519,8.070593539949519,8.04012466444838,8.042699496897637,600698975.0,190500,171,8.071218539969863,8.042699496897637
2001-09-11,8.042699496897637,8.052296499538647,8.033334015880062,8.042699496897637,835670745.0,268651,248,8.042699496897637,8.042699496897637
2001-09-12,8.03947991910045,8.041091003708633,8.005033344637111,8.03947991910045,2074126072.0,678947,389,8.042699496897637,8.03947991910045
2001-09-15,8.026496938945412,8.026823576217629,8.005033344637111,8.01829613851552,2096946825.0,696351,369,8.03947991910045,8.01829613851552
2001-09-16,8.006700845440367,8.010027528481734,7.9865049385539955,8.00603417874901,2445698895.0,820593,355,8.01829613851552,8.00603417874901
2001-09-17,7.989899374942939,8.006700845440367,7.955074273262696,7.971776122880628,5965433309.0,2041756,496,8.00603417874901,7.971776122880628
2001-09-18,7.959275960116396,7.976251943745623,7.944846711001996,7.974188669286011,2646206033.0,920719,424,7.971776122880628,7.974188669286011
2001-09-19,8.005367067316664,8.022896869601457,7.975564658495202,8.022896869601457,4432060526.0,1475872,394,7.974188669286011,8.022896869601457
2001-09-22,8.022896869601457,8.068089626278244,8.022896869601457,8.059276223305648,4012788031.0,1288852,437,8.022896869601457,8.059276223305648
2001-09-23,8.060224240440958,8.07153089355666,8.045908742270779,8.055157731819678,2401982259.0,757019,501,8.059276223305648,8.055157731819678
2001-09-24,8.053887083618223,8.053887083618223,8.025843344150903,8.03365842788615,1126681883.0,363674,299,8.055157731819678,8.03365842788615
2001-09-25,8.02322468471667,8.037543185118697,8.010027528481734,8.027476530860483,1365893021.0,446425,341,8.03365842788615,8.027476530860483
2001-09-26,8.026496938945412,8.030084094267563,8.016647877057803,8.029432840581244,2480453802.0,810289,428,8.027476530860483,8.029432840581244
2001-09-29,8.026496938945412,8.026496938945412,8.007700012884026,8.00836557031292,1560772223.0,516618,330,8.029432840581244,8.00836557031292
2001-09-30,8.00903068506973,8.033009498596668,8.006700845440367,8.029758520440822,2112512599.0,696590,404,8.00836557031292,8.029758520440822
2001-10-02,8.03947991910045,8.03947991910045,8.019941687677365,8.026496938945412,1399452911.0,455326,331,8.029758520440822,8.026496938945412
2001-10-03,8.02059914989697,8.028781162487146,8.016647877057803,8.02322468471667,2444902495.0,801803,438,8.026496938945412,8.02322468471667
2001-10-06,8.02322468471667,8.029107054619736,8.018954683155718,8.02322468471667,2561876452.0,840036,424,8.02322468471667,8.02322468471667
2001-10-07,8.022568946988255,8.02322468471667,8.013343181386672,8.021912778985708,1624641130.0,534078,293,8.02322468471667,8.021912778985708
2001-10-08,8.016647877057803,8.016647877057803,8.005700678662542,8.009695357742922,1785799332.0,593457,418,8.021912778985708,8.009695357742922
2001-10-09,8.005033344637111,8.006700845440367,7.989899374942939,7.989899374942939,1349001715.0,452746,262,8.009695357742922,7.989899374942939
2001-10-10,7.972810784121404,7.985824666418917,7.955775781534187,7.972121128921655,2110650363.0,729946,342,7.989899374942939,7.972121128921655
2001-10-13,7.970394907191429,8.006700845440367,7.970394907191429,7.988542982737695,1778668303.0,601958,352,7.972121128921655,7.988542982737695
2001-10-14,7.989899374942939,8.010027528481734,7.989899374942939,8.005367067316664,2171719704.0,727266,436,7.988542982737695,8.005367067316664
2001-10-16,8.006700845440367,8.02322468471667,8.006700845440367,8.019941687677365,1858330146.0,613438,400,8.005367067316664,8.019941687677365
2001-10-17,8.033009498596668,8.03947991910045,8.02322468471667,8.026496938945412,2331052639.0,756840,408,8.019941687677365,8.026496938945412
2001-10-20,8.02322468471667,8.045908742270779,8.02322468471667,8.042056410058754,2806545932.0,908566,296,8.026496938945412,8.042056410058754
2001-10-21,8.055475141757274,8.058643712215618,8.046869510959576,8.054840221101024,1805374962.0,573919,345,8.042056410058754,8.054840221101024
2001-10-22,8.055157731819678,8.071218539969863,8.055157731819678,8.06777619577889,2673429796.0,841192,398,8.054840221101024,8.06777619577889
2001-10-23,8.071218539969863,8.071218539969863,8.055475141757274,8.059908334578276,5948603010.0,1868957,388,8.06777619577889,8.059908334578276
2001-10-24,8.059592328887545,8.059592328887545,8.045908742270779,8.055157731819678,1145544366.0,363301,311,8.059908334578276,8.055157731819678
2001-10-27,8.052296499538647,8.052296499538647,8.036249942132116,8.03947991910045,1440472597.0,462358,317,8.055157731819678,8.03947991910045
2001-10-28,8.033009498596668,8.037866234709618,8.02322468471667,8.029758520440822,1188427125.0,386915,286,8.03947991910045,8.029758520440822
2001-10-29,8.026496938945412,8.044947049617722,8.026170194946426,8.03947991910045,1173848611.0,380856,283,8.029758520440822,8.03947991910045
2001-10-30,8.03947991910045,8.03947991910045,8.033009498596668,8.036573409707312,943375858.0,305326,273,8.03947991910045,8.036573409707312
2001-10-31,8.036249942132116,8.057060681965766,8.036249942132116,8.055475141757274,1557256113.0,498444,304,8.036573409707312,8.055475141757274
2001-11-03,8.063377822367027,8.063377822367027,8.055475141757274,8.055475141757274,1353869228.0,429170,287,8.055475141757274,8.055475141757274
2001-11-04,8.055475141757274,8.059908334578276,8.055475141757274,8.055475141757274,1440206802.0,456071,277,8.055475141757274,8.055475141757274
2001-11-05,8.055475141757274,8.058643712215618,8.055475141757274,8.057377488557991,1949780693.0,617955,288,8.055475141757274,8.057377488557991
2001-11-06,8.060224240440958,8.067462667010057,8.057377488557991,8.058643712215618,1443967942.0,456083,304,8.057377488557991,8.058643712215618
2001-11-07,8.058010800802085,8.058010800802085,8.0519780789023,8.055475141757274,1536858178.0,487912,250,8.058643712215618,8.055475141757274
2001-11-10,8.05579245097777,8.05579245097777,8.03947991910045,8.03947991910045,871419946.0,278205,229,8.055475141757274,8.03947991910045
2001-11-11,8.03947991910045,8.03947991910045,8.02322468471667,8.0323601479245,1376795472.0,449039,341,8.03947991910045,8.0323601479245
2001-11-12,8.030409562130485,8.03073492409854,8.019612794400267,8.029432840581244,1288185585.0,421452,304,8.0323601479245,8.029432840581244
2001-11-13,8.029758520440822,8.034631032923107,8.027476530860483,8.034631032923107,754944426.0,245754,209,8.029432840581244,8.034631032923107
2001-11-14,8.036249942132116,8.049107721326406,8.036249942132116,8.03947991910045,981418734.0,315737,259,8.034631032923107,8.03947991910045
2001-11-17,8.042699496897637,8.042699496897637,8.033009498596668,8.033009498596668,811985020.0,262403,217,8.03947991910045,8.033009498596668
